year;rodent;temperature;snow_depth;snow_continuous;site;morph;indiv_ID;start_95;median_50;end_0
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_01;130;145;192
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_02;132;144;170
2011;4;7,03;6,69;129;Maribu-Brand;W;AFMB_01;131;146;185
2011;4;7,03;6,69;129;Maribu-Brand;W;AFMB11_03;;138;176
2011;4;7,03;6,69;129;Maribu-Brand;B;AFMB11_04;138;158;190
2011;4;7,03;29;145;Slettø H�;W;AFSH_02;117;140;156
2011;4;7,03;29;145;Slettø H�;B;AFSH_03;119;150;170
2011;4;7,03;29;145;Slettø H�;B;AFSH11_04;;163;181
2011;4;7,03;29;145;Slettø H�;W;AFSH11_06;;137;
2011;4;7,03;17,39;142;Sletthø La;W;AFSL11_01;123;138;160
2011;4;7,03;17,39;142;Sletthø La;B;AFSL11_02;124;;166
2011;4;7,03;29;145;Sletthø;W;AFSLE_01;131;154;171
2011;4;7,03;29;145;Sletthø;B;AFSLE_02;134;155;180
2012;1;4;149,19;184;Flya;B;AFFL12_01;153;161;192
2012;1;4;149,19;184;Flya;W;AFFL12_02;150;167;
2012;1;4;149,19;184;Flya;W;AFFL12_03;150;165;
2012;1;4;149,19;184;Flya;W;AFFL12_04;156;172;
2012;1;4;149,19;184;Flya;W;AFFL12_05;163;171;
2012;1;4;82,69;171;Kjelsungbandet N;W;AFK_01;;176;216
2012;1;4;82,69;171;Kjelsungbandet N;W;AFK_02;179;184;200
2012;1;4;80,8;171;Kjelsungbandet S;W;AFKS12_04;;;226
2012;1;4;77,9;168;Maribu-Brand;W;AFMB_01;147;183;
2012;1;4;77,9;168;Maribu-Brand;W;AFMB12_01;150;175;198
2012;1;4;77,9;168;Maribu-Brand;B;AFMB12_02;154;173;
2012;1;4;77,9;168;Maribu-Brand;W;AFMB12_05;150;163;196
2012;1;4;77,9;168;Maribu-Brand;W;AFMB12_06;154;;
2012;1;4;77,9;168;Maribu-Brand;W;AFMB12_07;141;162;
2012;1;4;98,4;182;Revgrenranden ;W;AFR12_02;;165;187
2012;1;4;98,4;182;Revgrenranden ;W;AFR12_03;;181;
2012;1;4;98,4;182;Revgrenranden ;W;AFR12_04;167;;
2012;1;4;98,4;182;Revgrenranden ;W;AFR12_05;;182;
2012;1;4;98,4;182;Revgrenranden ;W;AFR12_06;;184;
2012;1;4;101,5;177;Slettø H�;W;AFSH_02;136;162;181
2012;1;4;101,5;177;Slettø H�;B;AFSH_03;144;172;192
2012;1;4;101,5;177;Slettø H�;W;AFSH12_01;131;158;182
2012;1;4;101,5;177;Slettø H�;W;AFSH12_01;;;182
2012;1;4;101,5;177;Slettø H�;B;AFSH12_04;;160;189
2012;1;4;101,5;177;Slettø H�;W;AFSH12_05;160;186;204
2012;1;4;101,5;177;Slettø H�;W;AFSH12_06;;;192
2012;1;4;96,4;176;Sletthø La;W;AFSL12_01;132;156;180
2012;1;4;96,4;176;Sletthø La;B;AFSL12_02;160;174;195
2012;1;4;96,4;176;Sletthø La;W;AFSL12_03;;177;212
2012;1;4;96,4;176;Sletthø La;B;AFSL12_04;;161;197
2012;1;4;69,8;164;Strålsjøh;W;AFST12_02;144;166;200
2012;1;4;69,8;164;Strålsjøh;B;AFST12_03;148;170;201
2012;1;4;69,8;164;Strålsjøh;W;AFST12_04;;;207
2013;2;5,75;52,5;145;Strålsjøh;W;AFK11_01;;;193
2013;2;5,75;73,4;146;Maribu-Brand;W;AFMB13_01;;175;204
2013;2;5,75;73,4;146;Maribu-Brand;W;AFMB13_02;;175;201
2013;2;5,75;73,4;146;Maribu-Brand;W;AFMB13_03;183;199;
2013;2;5,75;73,4;146;Maribu-Brand;W;AFMB13_04;180;189;
2013;2;5,75;83,19;148;�motsdalen;W;AFMOT13_01;130;162;174
2013;2;5,75;83,19;148;�motsdalen;W;AFMOT13_02;134;150;169
2013;2;5,75;79,19;151;Revgrenranden ;W;AFR13_01;128;156;180
2013;2;5,75;79,19;151;Revgrenranden ;W;AFR13_02;130;153;178
2013;2;5,75;94,09;149;Slettø H�;W;AFSH_02;124;148;163
2013;2;5,75;94,09;149;Slettø H�;B;AFSH_03;134;153;181
2013;2;5,75;94,09;149;Slettø H�;B;AFSH13_04;144;166;
2013;2;5,75;94,09;149;Slettø H�;W;AFSHII13_01;;172;202
2013;2;5,75;94,09;149;Slettø H�;W;AFSHII13_05;;170;195
2013;2;5,75;89,3;148;Sletthø La;W;AFSL13_01;118;126;145
2013;2;5,75;89,3;148;Sletthø La;B;AFSL13_02;121;135;143
2013;2;5,75;89,3;148;Sletthø La;B;AFSL13_03;126;151;177
2013;2;5,75;89,3;148;Sletthø La;W;AFSL13_04;129;;180
2013;2;5,75;65,3;147;Sæterfjellet;W;AFSTR13_01;127;156;173
2013;2;5,75;65,3;147;Sæterfjellet;B;AFSTR13_02;131;154;171
2013;2;5,75;68,5;145;Tjønnglupe;W;AFTJ13_02;;;148
2013;2;5,75;68,5;145;Tjønnglupe;W;AFTJ13_03;;;130
2013;2;5,75;68,5;145;Tjønnglupe;W;AFTJ13_04;;149;
2013;2;5,75;68,5;145;Tjønnglupe;W;AFTJ13_05;;;201
2013;2;5,75;64,19;146;Tythøkolle;W;AFTYT13_01;;152;196
2013;2;5,75;64,19;146;Tythøkolle;B;AFTYT13_02;;147;174
2013;2;5,75;107,3;152;Vangsvatnet;W;AFV13_01;125;140;164
2013;2;5,75;107,3;152;Vangsvatnet;B;AFV13_02;134;151;174
2013;2;5,75;85,5;150;Ylsbotten;W;AFYL_01;;161;177
2014;3;6,88;62,2;148;Aurhø;W;AFA14_01;139;158;
2014;3;6,88;62,2;148;Aurhø;W;AFA14_02;;158;
2014;3;6,88;62,2;148;Aurhø;W;AFA14_03;;160;
2014;3;6,88;62,2;148;Aurhø;W;AFA14_04;;178;
2014;3;6,88;55,59;147;Kjelsungbandet S;W;AFK_01;134;168;197
2014;3;6,88;55,59;147;Kjelsungbandet N;B;AFK14_02;147;166;
2014;3;6,88;55,59;147;Kjelsungbandet S;W;AFK14_03;131;145;170
2014;3;6,88;93,19;156;Slettø H�;W;AFMB_01;132;165;
2014;3;6,88;53;148;Maribu-Brand;B;AFMB14_02;131;156;
2014;3;6,88;53;148;Maribu-Brand;W;AFMB14_03;;140;174
2014;3;6,88;53;148;Maribu-Brand;B;AFMB14_04;;151;
2014;3;6,88;53;148;Maribu-Brand;W;AFMB14_05;142;172;
2014;3;6,88;80,9;155;Revgrenranden ;W;AFR14_01;122;166;193
2014;3;6,88;80,9;155;Revgrenranden ;W;AFR14_02;118;138;184
2014;3;6,88;80,9;155;Revgrenranden ;B;AFR14_03;134;;201
2014;3;6,88;93,19;156;Slettø H�;W;AFSH_02;122;142;165
2014;3;6,88;93,19;156;Slettø H�;B;AFSH_03;128;144;171
2014;3;6,88;93,19;156;Slettø H�;B;AFSH14_04;;;165
2014;3;6,88;93,19;156;Slettø H�;W;AFSH14_08;;159;176
2014;3;6,88;93,19;156;Slettø H�;W;AFSHII14_01;125;146;163
2014;3;6,88;77,69;154;Sletthø La;W;AFSL14_01;129;154;172
2014;3;6,88;77,69;154;Sletthø La;W;AFSL14_02;127;161;
2014;3;6,88;77,69;154;Sletthø La;W;AFSL14_03;;152;170
2015;1;4,05;114,9;184;Geitåtæl;W;AFG15_01;146;;
2015;1;4,05;114,9;184;Geitåtæl;W;AFG15_02;153;;
2015;1;4,05;73,09;182;Kjelsungbandet S;W;AFK_01;164;183;237
2015;1;4,05;73,09;182;Kjelsungbandet S;W;AFK15_02;147;167;201
2015;1;4,05;73,09;182;Kjelsungbandet S;B;AFK15_03;166;182;211
2015;1;4,05;79,5;182;Kjelsungbandet N;W;AFKN15_01;;;227
2015;1;4,05;84,3;183;Maribu-Brand;W;AFMB15_01;148;;
2015;1;4,05;84,3;183;Maribu-Brand;W;AFMB15_02;148;202;227
2015;1;4,05;84,3;183;Maribu-Brand;W;AFMB15_03;153;167;213
2015;1;4,05;115,8;201;Revgrenranden ;W;AFR15_01;137;184;223
2015;1;4,05;115,8;201;Revgrenranden ;W;AFR15_02;141;189;
2015;1;4,05;115,8;201;Revgrenranden ;W;AFR15_03;140;164;214
2015;1;4,05;115,8;201;Revgrenranden ;B;AFR15_04;152;191;
2015;1;4,05;126,09;195;Slettø H�;W;AFSH_02;141;169;197
2015;1;4,05;126,09;195;Slettø H�;B;AFSH_03;139;162;201
2015;1;4,05;126,09;195;Slettø H�;B;AFSH15_04;;180;
2015;1;4,05;126,09;192;Sletthø La;W;AFSL15_01;132;171;
2015;1;4,05;126,09;192;Sletthø La;W;AFSL15_02;135;172;
2015;1;4,05;126,09;192;Sletthø La;B;AFSL15_03;142;;
2015;1;4,05;126,09;192;Sletthø La;W;AFSL15_04;144;179;
2015;1;4,05;126,09;192;Sletthø La;W;AFSL15_05;;167;
2015;1;4,05;126,09;192;Sletthø La;B;AFSL15_06;169;;
2016;2;5,48;98,3;154;Aurhø;W;AFA16_01;149;172;192
2016;2;5,48;98,3;154;Aurhø;B;AFA16_02;147;168;
2016;2;5,48;98,3;154;Aurhø;W;AFA16_03;143;167;
2016;2;5,48;108,09;157;Geitåtæl;W;AFG16_01;137;166;190
2016;2;5,48;74,5;151;Kjelsungbandet N;W;AFKN16_01;157;180;216
2016;2;5,48;74,5;151;Kjelsungbandet N;W;AFKN16_02;;170;208
2016;2;5,48;74,5;151;Kjelsungbandet N;B;AFKN16_03;137;174;196
2016;2;5,48;74,5;151;Kjelsungbandet N;W;AFKN16_04;172;199;238
2016;2;5,48;74,5;151;Kjelsungbandet N;W;AFKN16_05;150;175;223
2016;2;5,48;74,5;151;Kjelsungbandet N;B;AFKN16_06;;;197
2016;2;5,48;68,3;151;Kjelsungbandet S;W;AFKS16_02;148;173;192
2016;2;5,48;75,09;153;Lustjønn;W;AFLU16_01;133;167;190
2016;2;5,48;75,09;153;Lustjønn;W;AFLU16_02;;160;197
2016;2;5,48;101,19;155;Miutjønne;W;AFMI16_01;133;146;173
2016;2;5,48;101,19;155;Miutjønne;W;AFMI16_02;147;162;
2016;2;5,48;101,19;155;Miutjønne;B;AFMI16_03;139;162;193
2016;2;5,48;101,19;155;Miutjønne;B;AFMI16_04;149;;
2016;2;5,48;101,19;155;Miutjønne;B;AFMI16_05;;185;
2016;2;5,48;101,19;155;Miutjønne;W;AFMI16_06;;181;
2016;2;5,48;101,19;155;Miutjønne;B;AFMI16_07;175;;
2016;2;5,48;101,19;155;Miutjønne;B;AFMI16_08;;179;
2016;2;5,48;74,9;152;Salhø;W;AFSA16_01;;189;
2016;2;5,48;74,9;152;Salhø;W;AFSA16_02;159;186;
2016;2;5,48;74,9;152;Salhø;W;AFSA16_03;;165;209
2016;2;5,48;86,59;155;Slettø H�;W;AFSH16_01;131;147;
2016;2;5,48;86,59;155;Slettø H�;W;AFSH16_02;140;;
2016;2;5,48;86,59;155;Slettø H�;B;AFSH16_03;127;;
2017;3;4,93;89,8;157;Maribu-Brand;W;AFMB17_01;135;183;205
2017;3;4,93;89,8;157;Maribu-Brand;W;AFMB17_03;131;167;191
2017;3;4,93;118,3;163;Slettø H�;W;AFSH17_01;120;154;169
2017;3;4,93;118,3;163;Slettø H�;B;AFSH17_02;121;157;166
2017;3;4,93;118,3;163;Slettø H�;B;AFSH17_03;153;171;180
2017;3;4,93;118,3;163;Slettø H�;W;AFSHII17_01;119;187;
2017;3;4,93;118,3;163;Slettø H�;B;AFSHII17_02;122;148;167
2017;3;4,93;118,3;163;Slettø H�;B;AFSHII17_03;138;157;182
2017;3;4,93;118,3;163;Slettø H�;W;AFSHII17_04;118;143;184
2017;3;4,93;118,3;163;Slettø H�;B;AFSHII17_05;158;170;187
2017;3;4,93;118,3;163;Slettø H�;W;AFSHII17_06;122;159;180
2017;3;4,93;118,3;163;Slettø H�;W;AFSHII17_07;130;155;173
2017;3;4,93;115;160;Sletthø La;W;AFSL17_01;121;159;179
2017;3;4,93;115;160;Sletthø La;B;AFSL17_02;124;149;177
2017;3;4,93;118,4;163;Tjønnglupe;W;AFTJ17_01;132;145;164
2017;3;4,93;118,4;163;Tjønnglupe;W;AFTJ17_02;129;147;171
2018;4;8,28;67,59;142;Kjelsungbandet N;W;AFK18_01;131;148;171
2018;4;8,28;67,59;142;Kjelsungbandet N;B;AFK18_02;137;155;176
2018;4;8,28;67,59;142;Kjelsungbandet N;W;AFKN18_03;142;165;193
2018;4;8,28;110,69;148;Lertjønnbekke;B;AFLE18_01;141;157;179
2018;4;8,28;110,69;148;Lertjønnbekke;B;AFLE18_02;136;150;
2018;4;8,28;71,8;145;Lustjønn;W;AFLU18_01;130;161;183
2018;4;8,28;71,8;145;Lustjønn;W;AFLU18_02;126;152;183
2018;4;8,28;71,8;145;Lustjønn;W;AFLU18_03;120;152;181
2018;4;8,28;71,8;145;Lustjønn;W;AFLU18_04;120;147;165
2018;4;8,28;71,8;145;Lustjønn;B;AFLU18_05;146;168;196
2018;4;8,28;71,8;145;Lustjønn;B;AFLU18_06;182;203;231
2018;4;8,28;71,8;145;Lustjønn;W;AFLU18_07;136;160;195
2018;4;8,28;98,09;147;Miutjønne;W;AFMI18_01;123;162;178
2018;4;8,28;98,09;147;Miutjønne;B;AFMI18_02;125;145;160
2018;4;8,28;98,09;147;Miutjønne;W;AFMI18_03;124;151;166
2018;4;8,28;98,09;147;Miutjønne;W;AFMI18_04;134;167;185
2018;4;8,28;98,09;147;Miutjønne;B;AFMI18_05;134;166;196
2018;4;8,28;146,6;159;Mjølrakkh;W;AFMJ18_01;128;144;164
2018;4;8,28;146,6;159;Mjølrakkh;B;AFMJ18_02;139;159;191
2018;4;8,28;146,6;159;Mjølrakkh;W;AFMJ18_03;;167;196
2018;4;8,28;66,4;144;Salhø;W;AFS18_01;123;158;181
2018;4;8,28;66,4;144;Salhø;W;AFS18_02;124;149;175
2018;4;8,28;66,4;144;Salhø;B;AFS18_03;123;160;191
2018;4;8,28;64,69;141;Tjønnglupe;W;AFTJ18_01;133;;
2018;4;8,28;64,69;141;Tjønnglupe;W;AFTJ18_02;125;140;
