year;rodent;temperature;snow_depth;snow_continuous;site;morph;indiv_ID;moult_score;date
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_01;95;130
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_01;75;136
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_01;50;145
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_01;25;154
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_01;5;165
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_01;0;192
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_02;95;132
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_02;75;138
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_02;50;144
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_02;25;151
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_02;5;161
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFK_02;0;170
2011;4;7,03;12,89;132;Kjelsungbandet S;W;AFKN11_05;5;170
2011;4;7,03;6,69;129;Maribu-Brand;W;AFMB_01;95;131
2011;4;7,03;6,69;129;Maribu-Brand;W;AFMB_01;75;141
2011;4;7,03;6,69;129;Maribu-Brand;W;AFMB_01;50;146
2011;4;7,03;6,69;129;Maribu-Brand;W;AFMB_01;25;154
2011;4;7,03;6,69;129;Maribu-Brand;W;AFMB_01;5;168
2011;4;7,03;6,69;129;Maribu-Brand;W;AFMB_01;0;185
2011;4;7,03;6,69;129;Maribu-Brand;W;AFMB11_03;50;138
2011;4;7,03;6,69;129;Maribu-Brand;W;AFMB11_03;0;176
2011;4;7,03;6,69;129;Maribu-Brand;B;AFMB11_04;95;138
2011;4;7,03;6,69;129;Maribu-Brand;B;AFMB11_04;75;146
2011;4;7,03;6,69;129;Maribu-Brand;B;AFMB11_04;50;158
2011;4;7,03;6,69;129;Maribu-Brand;B;AFMB11_04;25;162
2011;4;7,03;6,69;129;Maribu-Brand;B;AFMB11_04;5;177
2011;4;7,03;6,69;129;Maribu-Brand;B;AFMB11_04;0;190
2011;4;7,03;29;145;Slettø H�;W;AFSH_02;95;117
2011;4;7,03;29;145;Slettø H�;W;AFSH_02;75;123
2011;4;7,03;29;145;Slettø H�;W;AFSH_02;50;140
2011;4;7,03;29;145;Slettø H�;W;AFSH_02;25;147
2011;4;7,03;29;145;Slettø H�;W;AFSH_02;5;150
2011;4;7,03;29;145;Slettø H�;W;AFSH_02;0;156
2011;4;7,03;29;145;Slettø H�;B;AFSH_03;95;119
2011;4;7,03;29;145;Slettø H�;B;AFSH_03;75;130
2011;4;7,03;29;145;Slettø H�;B;AFSH_03;50;150
2011;4;7,03;29;145;Slettø H�;B;AFSH_03;25;155
2011;4;7,03;29;145;Slettø H�;B;AFSH_03;5;161
2011;4;7,03;29;145;Slettø H�;B;AFSH_03;0;170
2011;4;7,03;29;145;Slettø H�;B;AFSH11_04;50;163
2011;4;7,03;29;145;Slettø H�;B;AFSH11_04;25;169
2011;4;7,03;29;145;Slettø H�;B;AFSH11_04;5;171
2011;4;7,03;29;145;Slettø H�;B;AFSH11_04;0;181
2011;4;7,03;29;145;Slettø H�;W;AFSH11_06;50;137
2011;4;7,03;29;145;Slettø H�;W;AFSH11_06;25;142
2011;4;7,03;17,39;142;Sletthø La;W;AFSL11_01;95;123
2011;4;7,03;17,39;142;Sletthø La;W;AFSL11_01;75;127
2011;4;7,03;17,39;142;Sletthø La;W;AFSL11_01;50;138
2011;4;7,03;17,39;142;Sletthø La;W;AFSL11_01;25;147
2011;4;7,03;17,39;142;Sletthø La;W;AFSL11_01;5;153
2011;4;7,03;17,39;142;Sletthø La;W;AFSL11_01;0;160
2011;4;7,03;17,39;142;Sletthø La;B;AFSL11_02;95;124
2011;4;7,03;17,39;142;Sletthø La;B;AFSL11_02;0;166
2011;4;7,03;29;145;Sletthø;W;AFSLE_01;95;131
2011;4;7,03;29;145;Sletthø;W;AFSLE_01;75;143
2011;4;7,03;29;145;Sletthø;W;AFSLE_01;50;154
2011;4;7,03;29;145;Sletthø;W;AFSLE_01;25;158
2011;4;7,03;29;145;Sletthø;W;AFSLE_01;5;163
2011;4;7,03;29;145;Sletthø;W;AFSLE_01;0;171
2011;4;7,03;29;145;Sletthø;B;AFSLE_02;95;134
2011;4;7,03;29;145;Sletthø;B;AFSLE_02;75;144
2011;4;7,03;29;145;Sletthø;B;AFSLE_02;50;155
2011;4;7,03;29;145;Sletthø;B;AFSLE_02;25;165
2011;4;7,03;29;145;Sletthø;B;AFSLE_02;5;171
2011;4;7,03;29;145;Sletthø;B;AFSLE_02;0;180
2012;1;4;149,19;184;Flya;B;AFFL12_01;95;153
2012;1;4;149,19;184;Flya;B;AFFL12_01;75;155
2012;1;4;149,19;184;Flya;B;AFFL12_01;50;161
2012;1;4;149,19;184;Flya;B;AFFL12_01;25;165
2012;1;4;149,19;184;Flya;B;AFFL12_01;5;173
2012;1;4;149,19;184;Flya;B;AFFL12_01;0;192
2012;1;4;149,19;184;Flya;W;AFFL12_02;95;150
2012;1;4;149,19;184;Flya;W;AFFL12_02;75;155
2012;1;4;149,19;184;Flya;W;AFFL12_02;50;167
2012;1;4;149,19;184;Flya;W;AFFL12_02;25;176
2012;1;4;149,19;184;Flya;W;AFFL12_03;95;150
2012;1;4;149,19;184;Flya;W;AFFL12_03;75;157
2012;1;4;149,19;184;Flya;W;AFFL12_03;50;165
2012;1;4;149,19;184;Flya;W;AFFL12_03;25;174
2012;1;4;149,19;184;Flya;W;AFFL12_04;95;156
2012;1;4;149,19;184;Flya;W;AFFL12_04;75;160
2012;1;4;149,19;184;Flya;W;AFFL12_04;50;172
2012;1;4;149,19;184;Flya;W;AFFL12_05;95;163
2012;1;4;149,19;184;Flya;W;AFFL12_05;75;169
2012;1;4;149,19;184;Flya;W;AFFL12_05;50;171
2012;1;4;149,19;184;Flya;W;AFFL12_05;25;173
2012;1;4;82,69;171;Kjelsungbandet N;W;AFK_01;50;176
2012;1;4;82,69;171;Kjelsungbandet N;W;AFK_01;25;182
2012;1;4;82,69;171;Kjelsungbandet N;W;AFK_01;5;200
2012;1;4;82,69;171;Kjelsungbandet N;W;AFK_01;0;216
2012;1;4;82,69;171;Kjelsungbandet N;W;AFK_02;95;179
2012;1;4;82,69;171;Kjelsungbandet N;W;AFK_02;75;182
2012;1;4;82,69;171;Kjelsungbandet N;W;AFK_02;50;184
2012;1;4;82,69;171;Kjelsungbandet N;W;AFK_02;25;190
2012;1;4;82,69;171;Kjelsungbandet N;W;AFK_02;5;193
2012;1;4;82,69;171;Kjelsungbandet N;W;AFK_02;0;200
2012;1;4;80,8;171;Kjelsungbandet S;W;AFKS12_04;25;207
2012;1;4;80,8;171;Kjelsungbandet S;W;AFKS12_04;5;216
2012;1;4;80,8;171;Kjelsungbandet S;W;AFKS12_04;0;226
2012;1;4;80,8;171;Kjelsungbandet S;W;AFKS12_05;25;184
2012;1;4;80,8;171;Kjelsungbandet S;W;AFKS12_05;5;198
2012;1;4;77,9;168;Maribu-Brand;W;AFMB_01;95;147
2012;1;4;77,9;168;Maribu-Brand;W;AFMB_01;75;162
2012;1;4;77,9;168;Maribu-Brand;W;AFMB_01;50;183
2012;1;4;77,9;168;Maribu-Brand;W;AFMB_01;25;187
2012;1;4;77,9;168;Maribu-Brand;W;AFMB_01;5;193
